Unnamed: 0,SMILES,QED,DBPP_SCORE,MolSkill,HADES,HADES_scs
85,O=C(OCC)CC(C(=O)OCC)SP(=O)(OC)OC,0.471510294,0.997677217,18.499893,0.794129268390304,0.8244431154853171
86,N(C(C(NC(C)CC)=S)=S)C(C)CC,0.727051121,0.999126613,8.292443,0.0625481500077148,0.24174726913517067
87,O=C(OC(C)C)C=C(OP(OC)(NCC)=S)C,0.334424052,0.002465022,21.652912,0.2519208239656075,0.45421582800394916
88,O=C(OCC)N(C(=O)CSP(OCC)(OCC)=S)C,0.634224468,0.730165483,4.1238494,0.6632297367900718,0.6018216367711805
89,O=NN(C(=O)NCCS(=O)(=O)N(CC)CCC)CCCl,0.36684878,0.987864272,15.34689,0.1068863612868638,0.29011748963278183
90,FCCCCCCCCCC,0.468913896,0.998987026,19.604336,0.0055859175316333,0.09882799780872517
91,NC1C(CC)CCCC1(CC),0.651310207,0.997264363,13.7741375,0.1794952683346249,0.37243506057840425
92,N(C)C(C)CC1CCCCC1,0.660211663,0.999214924,13.1314535,0.0148078219934549,0.2584820109639997
93,O=P(OC(C)C)(OC(C)C)OP(OC(C)C)(CCl)=S,0.434664169,0.688818695,18.829496,0.8277981560545861,0.5520414348170616
94,O=P(OCCCC)(CC)SCCCC,0.435196175,0.997881093,19.13818,0.0463984381173045,0.18289123037680666
95,O(C(C)C)P(OC(C)C)(=S)SCSC(C)C,0.467648173,0.933200541,11.80846,0.340966902891944,0.38862180544157354
96,O=P(OCC)(OCC)SCCN(CC)CC,0.569215507,0.752026689,9.929158,0.6634482382864002,0.617670230385119
97,O=P(OCC)(CC)SCSCSP(=O)(OCC)CC,0.253031572,0.999571286,26.370077,0.4552563565342366,0.33875932635782247
98,N#CC(=Cc1ccc(cc1Cl)Cl)C(=O)O,0.640010928,0.996015052,-3.7851171,0.4477708145008741,0.3358252880536322
99,C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,0.402355653,0.999772072,26.496855,0.2122564257913752,0.16594503640180575
100,O1C2C1C(C3C2C4(C(=C(C3(C4(Cl)Cl)Cl)Cl)Cl)Cl)Cl,0.440549761,0.999112316,33.863686,0.1273621235397621,0.1379905013698412
101,n2cc1ncsc1c3ccccc23,0.539184713,0.228331625,-1.9931399,0.0778595606588185,0.15104025342069977
102,O=C1C=CC(=O)c2c(O)cccc12,0.645013936,0.997802614,8.87055,0.6155243253425421,0.3726642408492354
103,O=C(O)C1=Cc2ccccc2(OC1(=O)),0.691495193,0.998593658,9.142331,0.9426315921039586,0.6493724903960442
104,FC(F)(F)c1nc2c(OC)c(c(c(OC)c2([nH]1))Cl)Cl,0.913942551,0.081894096,4.643334,0.7834456327650593,0.4460580227896506
105,FC(F)(F)c1nc2c([nH]1)c(c(c(c2Cl)Cl)Cl)N(C)C,0.773518909,0.206365789,-6.4256015,0.7131978596838585,0.4441762935558449
106,O=C1C=CC(=O)N1c2ccccc2,0.596503289,0.999665314,6.259684,0.8811212293377304,0.341293339761691
107,O=C(Nc1ccc2nc([nH]c2(c1))C(F)(F)F)C,0.808115743,0.705455536,-17.45573,0.7362235818842598,0.7055021902392422
108,O=[N+]([O-])c1c2nc([nH]c2(cc(c1C)C))C(F)(F)F,0.631334041,0.032419672,9.4719,0.4678855183635445,0.34217364403298955
109,n1ccccc1c2ncccc2,0.631772953,0.996484529,1.790996,0.0363191943858684,0.1644618129258974
110,n1ccc(cc1)c2ccncc2,0.631772953,0.999256557,5.424652,0.0328618000203248,0.20658182019784746
111,O=P(OC(c1ccc(cc1Cl)Cl)=C(Br)Br)(OC)OC,0.414742722,0.938479909,16.655687,0.5575221370646931,0.5320386531439548
112,O=P(OC(c1ccc(cc1Cl)Cl)=C(Cl)Br)(OC)OC,0.463430127,0.874354202,16.795017,0.5777915573721778,0.4810481293909108
113,FC(F)(F)c1nc2ccc(cc2([nH]1))CC,0.775645812,0.01963949,1.3728279,0.1852558430021792,0.42150581359504613
114,FC(F)(F)c1nc2cc(c(cc2([nH]1))C)C,0.716282966,0.672533456,8.651622,0.0817535039231245,0.1669099521012381
115,FC(F)(F)c1nc2c(OC)ccc(OC)c2([nH]1),0.885449623,0.581221158,-19.37251,0.3945945065725258,0.3961890379669971
116,Nc1cccc2ccccc12,0.562954441,0.996383118,13.154299,0.013129296669867,0.13563657924918165
117,C13(C4(C2(C5(C(C1(C2(Cl)Cl)Cl)(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl),0.357908484,0.999174983,46.3823,0.8148796890271663,0.28767410672623567
118,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.421669137,0.999743935,29.632675,0.3219083123186976,0.6081073524423
119,O1CC2C(COC1C)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,0.572206717,0.999254607,29.471424,0.1685783232513816,0.3431366640922441
120,O=[N+]([O-])c1ccc(OP(OCC(=C)Cl)(C)=S)cc1C(F)(F)F,0.409490042,0.01385296,7.423619,0.3962790695800105,0.588583971366414
121,FC(F)(F)c1cc(N)cc(c1)n2cnc(c2)C,0.779994982,0.086739614,2.6237016,0.1742879370252818,0.19147133000783467
122,O=C(Nc1ccc2nc([nH]c2(c1))C(F)(F)F)CC,0.868543786,0.022809195,-7.4047885,0.6321891342559889,0.5653281153452703
123,O=C(N=C2Nc1ccccc1S2)CSC(=O)C,0.903165686,0.003682418,-8.731309,0.179672684481664,0.28943982309586536
124,n1c(nc(c(c1N)c2ccc(cc2)Br)C)N,0.839678671,0.987645359,-1.8165841,0.2529109066463972,0.31763518294407495
125,O=C(Oc1ccc(NC(=O)C(F)(F)Cl)c(c1)C)NC,0.841144207,0.002568762,-7.532229,0.3476594202082723,0.4611847382792331
126,FC(F)(F)c1cccc(c1)CNC2=NCCS2,0.883839041,0.006436282,16.042906,0.4867644163952336,0.11700683780471961
127,N#CC(=NOC(=O)N(C)C)c1ccccc1,0.429152818,0.032449747,2.44594,0.1000732417430932,0.27533062142497616
128,O=C(Oc2cccc1c2(ccs1))N(C)C,0.740555494,0.382441491,-0.2085588,0.0744493808361216,0.1333697133393472
129,O=C(Oc1ccccc1(OCC#C))NC,0.758919713,0.988881825,-5.249111,0.0403461388071355,0.12338405246741417
130,O=C(c1cc(nc(c1)Cl)Cl)N(CC)C2CC2,0.781538367,0.0175579,2.054676,0.0342182994997716,0.15762795673382596
131,FC(F)(F)c1cccc(c1)C2OCCNC2,0.800728455,0.033407708,-2.2899768,0.4574844131862158,0.2366762730294647
132,O=C1c2ccccc2(C(=O)N1CSP(OC)(C)=S),0.631618293,0.699621961,-1.7636371,0.3269439186909064,0.3599426975744655
133,N#Cc1ccc(OP(OCCCl)(CC)=S)cc1,0.593435923,0.006286505,9.433969,0.0101812945950997,0.08689925257361317
134,n3cnc1c(ncn1C2CC2)c3NC4CC4,0.846823443,0.005323455,4.222746,0.292918744561558,0.08622739639056021
135,OC(=NC)Oc2cccc1c2(OC(C)C1),0.565152431,0.003091139,16.02104,0.0963741395863098,0.4154043731116531
136,O=C(Oc1ccccc1C2OCCS2)NC,0.858842915,0.589997768,-6.301423,0.5459401032549919,0.13998634663347437
137,O=C(Oc1cccc2OC(Oc12)(C)C)NC,0.789694651,0.993370174,-5.497915,0.7328058215695291,0.6892182571539848
138,O=C(Oc1ccccc1C2OCCO2)NC,0.824013485,0.561512456,3.4848142,0.6012667917835439,0.40922843480369286
139,O=P(Oc1c(cc(cc1Cl)Cl)Cl)(OCC)SCCC,0.531446408,0.681573691,9.425699,0.4775697315415391,0.47597175456669155
140,O(C)P(OC)(=S)SC2c1cc(ccc1SCC2)Cl,0.705252598,0.059299916,18.633541,0.3786400301203664,0.4014972149924036
141,O=C2NN(c1ccccc1)CC2(C)C,0.728567634,0.948300231,4.5341926,0.1093885687904667,0.15045534456542736
142,N2=C(C=Cc1cccs1)N(C)CCC2,0.725611312,0.975962581,3.3709154,0.9972617776225916,0.1408082001666638
143,N2=C(NCc1ccc(cc1)C)SCC2,0.801826917,0.053094235,14.163477,0.2591077874778282,0.15125099574072262
144,N2=C(NCc1ccccc1C)SCC2,0.801826917,0.596101235,15.322902,0.3313860691134987,0.14787556603883933
145,OCC3OC(n2ccc1c(ncnc12)N)C(O)C3(O),0.527565898,0.999714435,-2.9261732,0.836321392809858,0.729402710680641
146,OCC3OC(n2cnc1c2(ncnc1SC))C(O)C3(O),0.496363037,0.998801221,-5.018087,0.701599667243476,0.7074727242612411
147,N#Cc1ccc(OP(OCC)(OCC)=S)cc1,0.743346398,0.428618711,12.902742,0.0278589545525285,0.10043502929360396
148,C(=Nc1ccc(OP(OCC)(OCC)=S)cc1)=S,0.430737623,0.711837504,19.425846,0.0356259862973597,0.13077658784073357
149,O=[N+]([O-])c1ccc(OCC)c(c1)CNCCBr,0.363636601,0.031698462,15.291995,0.0760224711455295,0.2812556620191955
150,O(c1ccc(cc1Cl)Cl)CSP(OCC)(CC)=S,0.484337285,0.425050907,8.923116,0.4179963416923731,0.38406613435081
151,O(CC)P(OCC)(=S)SCSc1cc(ccc1Cl)Cl,0.309838523,0.999423383,11.198767,0.5354761790968019,0.3615336726958091
152,O(CC)P(OCC)(=S)SCSc1ccc(c(c1)Cl)Cl,0.309838523,0.987391052,2.0740952,0.4927024613554583,0.3475528122457708
153,O(c1cc(c(cc1Cl)SC)Cl)P(OCC)(OCC)=S,0.479441334,0.942502475,14.056759,0.7840202943687874,0.4975835555557381
154,O=[N+]([O-])c1ccc(OP(OC(C)C)(CC)=S)c(c1)Cl,0.44139491,0.083894528,9.35249,0.3184419444244204,0.38438892218932114
155,O=C(Oc1cccc(N=CN(C)C)c1)NC,0.623076142,0.018495054,-2.138378,0.851042527930729,0.3152144064727838
156,O=C1N(C(=O)N(N1CC2OC2)CC3OC3)CC4OC4,0.557900356,0.996895723,9.50087,0.5770044309543426,0.14977663670291255
157,O=C(NN=Cc1oc(cc1)[N+](=O)[O-])CN2CCNCC2,0.428883684,0.79438263,7.4066005,0.2743758516526042,0.12583741543707339
158,O=C(Oc1cc(c(c(c1)C)C)C)NC,0.742959605,0.991683378,-0.5998831,0.1272329799221137,0.3200347524292439
159,O=C(Oc1cccc(c1)C(C)C)NC,0.783353649,0.988703318,-3.3396468,0.1327061521618159,0.30621954930998774
160,O=C(Oc1ccccc1CSCC)NC,0.855762848,0.242401482,2.8309507,0.2336436591321764,0.5266230063130358
161,O=C(Oc1cc(c(c(c1)C)SC)C)NC,0.786441299,0.175333959,-5.191239,0.1069179519066108,0.40627173766265745
162,O(c1cc(cc2OCOc12)CC(N)C)C,0.815168596,0.023643131,9.982228,0.1405670921013845,0.4032072357425405
163,O=C(Oc1ccccc1(OC(C)C))NC,0.829641835,0.994915065,9.386358,0.6102768159469522,0.42679548426732505
164,O=C(Oc1ccccc1C(OC)OC)NC,0.792185153,0.993985953,-17.12668,0.7759804136493932,0.47836192997645305
165,O(c1ccc(cc1)CC(N(C)C)=S)C,0.707587312,0.981526287,4.8672,0.0783327288373823,0.2112135770098388
166,O=C(ON=C1C(C)(C)SC(=NC(C)C)S1)N(C)SC(Cl)(Cl)Cl,0.263789162,0.067193206,30.039272,0.0622520037126151,0.12426061373518098
167,N=C(Nc1ccc(cc1)Cl)NC(=N)NC(C)C,0.413925148,0.987899541,7.959602,0.6559103500160289,0.39113941346409564
168,O(CC)P(CC)(=S)Sc1ccc(c(c1)C)Cl,0.698739459,0.525777945,1.6772779,0.3890708804213625,0.1968228110739879
169,O=C1NC(=O)N(C=C1(F))C(=O)NCCCCCC,0.765598914,0.998680555,-3.2024488,0.2299285644470448,0.5185494062896545
