Rference number,URL address,initial_SMILES,optimized_SMILES,initial_QED,optimized_QED,initial_MolSkill,optimized_MolSkill,initial_DBPP,optimized_DBPP,initial_HADES,optimied_HADES,optimized_HADES_scs,initial_HADES_scs
56,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c01438,CC1=CC=C2C(C=NN2)=C1C3=C(C)N(C4=CC=C(NC(C=C)=O)C=C4)N=C3,C=CC(=O)N8CC1(CC(C1)N2N=C(C(=C2C)c3c(Cl)c(C)cc4NN=Cc34)c7cc6C=NN(CCN5CCOCC5)c6cc7)C8,0.5386471308743803,0.2438421361698339,-2.949959,14.095795,0.0173552855748352,0.6533315014949684,0.0384258654464928,0.0887481822437191,0.06275790938527151,0.0637375146798769
57,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c01336,C[C@]1(CC(=O)N(C2CCOCC2)C(=N)N1)c1cccc(c1Cl)Nc1ccccc1,C[C@@H]1C[C@@H](CCO1)N1C(=N)N[C@@](C)(CC1=O)c1cccc(c1Cl)NC(=O)c1cccc(c1)C#N,0.7016576065038173,0.6119987137289347,-1.1832447,-0.09440601,0.0160674329624564,0.0822795498293087,0.116829513600066,0.041773607166366,0.07016283172187082,0.1580725363705654
58,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c01287,ClC(N=C1N)=NC2=C1N=CN2[C@H]3[C@H](O)[C@@](O)[C@@H](COC(C(O)=O)(CC4=CC=CC=C4)C(O)=O)O3,ClC(N=C1N)=NC2=C1N=CN2[C@H]3[C@H](O)[C@@](O)(C#C)[C@@H](COC(C(O)=O)(CC4=CC=C(N5C(NCCC5)=O)C=C4)C(O)=O)O3,0.2138450804202188,0.1037446714329996,-6.2618594,0.3850367,0.180351921814258,0.89331094318884,0.6611430570243861,0.6474798510075633,0.15684282923818166,0.623342653750291
59,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c01133,Cc1c(Cc2ccccc2)c(-c2cc(Cl)nc(N)n2)nn1C,Nc1nc(Cl)cc(-c2nn(C(F)F)cc2Cc2ccccc2OCCN2CCOC[C@H]2CO)n1,0.7545959473072128,0.4366232290178819,-18.095787,-4.629547,0.0015134635937478,0.0919031207979134,0.1422709859042771,0.1230433490123834,0.21056496383918732,0.4777714673851037
60,https://pubs.acs.org/doi/10.1021/acs.jmedchem.3c00894?articleRef=test,CC(C)(O)C1=COC(=C1)S(=O)(=O)NC(=O)NC1=C2CCCC2=CC2=C1CCC2,CN(C)CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1=C2CCCC2=CC2=C1CCC2,0.7258711149849274,0.7888460444688341,14.636348,8.036227,0.0039802158402459,0.1716341571834008,0.1806361316907003,0.1808220416013045,0.19103845014979454,0.18325792957584533
61,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00960,COc1ccc(nc1)Nc1nc(cs1)-c1ccccn1,CC(C)Oc1ccc(nc1)-c1nsc(n1)Nc1ncccc1N(C)C(=O)C,0.7957680079102578,0.6949273874095705,-14.531714,-1.0074437,0.0013330818155139,0.0012503772542555,0.008837695282745,0.0491307539893252,0.15857035771934394,0.1251482091709178
62,https://pubs.acs.org/doi/10.1021/acs.jmedchem.3c00787,N#CC1=C(C=CC=C1)C(C=C2)=CC=C2CNC(C(OC(C)=C3)=C(O)C3=O)=O,FC1=C(CNC(C2=NN(C3=CC=CC=C3)C(C)=CC2=O)=O)C(F)=CC(C4=CC(S(=O)(F)=O)=CC=C4)=C1,0.7439114401933858,0.3921608368680928,5.802692,5.877213,0.0050827523884827,0.857271261540156,0.0176918638666906,0.0626589137741004,0.41836943349817995,0.0780760654999183
63,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00008,CC(C1=C(C=CC(=C1)F)C2=C(C3=C(S2)C=C(C=C3)O)OC4=CC=C(C=C4)/C=C/C(=O)O)(F)F,CC(F)(F)C(C=C(F)C=C1)=C1C2=C(OC3=CC=C(OC4CN(CCCF)C4)C=C3)C5=CC=C6NN=CC6=C5S2        ,0.2879640492728971,0.1878820203326165,9.386974,7.6024795,0.2823661463038578,0.7216961154158584,0.2470740477591887,0.1630149740494252,0.19170818241589313,0.5840923229537841
64,https://pubs.acs.org/doi/10.1021/acs.jmedchem.4c01933,CC(C)N1[C@H](C)C(=O)N(C)C2=CC=C(NC3=NC=CC(=N3)C3=CN=CC4=C3C=CC=C4)C=C12,CN(C(C=C1)=C(N(C(C)C)[C@@H]2C)C=C1NC3=NC=C(F)C(C4=C(C)N(C)N=C4C5CC5)=N3)C2=O,0.4825236909718414,0.5991885903158046,-9.385288,-4.029271,0.168575511126995,0.012103399416503,0.0700822327922311,0.201294664075299,0.07979948296897449,0.11300485977978122
65,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c01618,CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CC[C@H]4[C@]([C@@]3(CC2)C)(CC[C@@H]5[C@@]4(CC=C(C5(C)C)C6=CC[C@@](CC6)(CF)C(=O)O)C)C)NCCN7CCS(=O)(=O)CC7,CC([C@@H]1CC[C@]2(NCC[C@@]3(O)CC[C@H](S(C)(=O)=O)CC3)CC[C@@]4(C)[C@]5(C)CC[C@@]6([H])C(C)(C)C(C7=CC[C@@](C(O)=O)(CF)CC7)=CC[C@]6(C)[C@@]5([H])CC[C@]4([H])[C@]21[H])=C,0.2445907959567168,0.20197321977103,9.430449,8.091012,0.9429218370406344,0.6824809114736798,0.7988961019705277,0.898345382171021,0.27589768944801635,0.18594778955248115
